"","Res","Date","Type","Depth_cm","Rep","Stage","Mass_tube_mg","Initials_weigher","Date_weighed","Comment","Vial_mg","...12","Sediment_plus_vial_pre_acid_mg","After_acid_mg","Fum_dif_mg","Mass_left","Sediment_added_mg","Correction_factor","Weight_mg","C_mass","N_mass","sample_ID"
"1","f",2019-07-08,"core",1,1,"init",99.11,"AD",2019-12-11,"Glass shards",NA,NA,13992.5,13988.83,-3.67000000000007,99.11,NA,0,94.04,5.2295644,0.474902,"f08Jul19r1"
"2","f",2019-07-08,"core",1,1,"ext",100.79,"AD",2019-12-11,"Glass shards, vial weight is after",15970.86,NA,16036.42,16035.73,-0.690000000000509,64.869999999999,65.5599999999995,-0.553722830275961,63.7,2.294474,0.268177,"f08Jul19r1"
"3","f",2019-07-08,"core",1,1,"cont",99.39,"AD",2019-12-11,"Glass shards",16263.41,NA,16356.4,16355.69,-0.709999999999127,92.2800000000007,92.9899999999998,-0.0770481144343227,92.19,4.2259896,0.3844323,"f08Jul19r1"
"4","f",2019-07-08,"core",1,2,"init",99.6,"AD",2019-12-11,NA,NA,NA,13956.45,13954.56,-1.89000000000124,99.6,NA,0,93.14,6.9370672,0.6547742,"f08Jul19r2"
"5","f",2019-07-08,"core",1,2,"ext",99.28,"AD",2019-12-11,NA,16271.1,NA,16327.61,16326.03,-1.57999999999993,54.9300000000003,56.5100000000002,-0.807391225195694,50.76,2.7831708,0.2629368,"f08Jul19r2"
"6","f",2019-07-08,"core",1,2,"cont",99.63,"AD",2019-12-11,NA,13943.79,NA,14036.8,14035.1,-1.69999999999891,91.3099999999995,93.0099999999984,-0.0911181688752661,91.29,5.8106085,0.5997753,"f08Jul19r2"
"7","f",2019-07-08,"core",1,3,"init",99.47,"AD",2019-12-11,NA,NA,NA,16331.65,16333.96,2.30999999999949,99.47,NA,0,88.91,5.7773718,0.53346,"f08Jul19r3"
"8","f",2019-07-08,"core",1,3,"ext",99.4,"AD",2019-12-11,NA,15938.14,NA,16000.07,15999.53,-0.539999999999054,61.3900000000012,61.9300000000003,-0.619156214367128,54.9,2.135061,0.217404,"f08Jul19r3"
"9","f",2019-07-08,"core",1,3,"cont",100.38,"AD",2019-12-11,"Spilled! Half of sample lost, spilled a very small amt later",15901.13,NA,15979.69,15980.07,0.3799999999992,78.9400000000005,78.5600000000013,-0.271598682543696,74.7,3.901581,0.395163,"f08Jul19r3"
"10","f",2019-07-08,"core",1,4,"init",90.6,"AD",2019-12-11,NA,NA,NA,13980.51,13982.89,2.3799999999992,90.6,NA,0,81.89,5.4276692,0.5535764,"f08Jul19r4"
"11","f",2019-07-08,"core",1,4,"ext",100,"AD",2019-12-11,NA,16496.31,NA,16556.17,16557.76,1.59000000000015,61.4499999999971,59.8599999999969,-0.627339300244178,54.98,2.4867454,0.2430116,"f08Jul19r4"
"12","f",2019-07-08,"core",1,4,"cont",70.1,"AD",2019-12-11,NA,16259.5,NA,16323.15,16322.69,-0.459999999999127,63.1900000000005,63.6499999999996,-0.1093527456876,62.18,3.4876762,0.3183616,"f08Jul19r4"
"13","b",2019-07-17,"core",1,1,"ext",100.1,"ASL",2019-12-19,NA,16333.38,NA,16395.78,16395.87,0.0900000000001455,62.4899999999998,62.3999999999996,-0.601856297007527,54.85,3.615712,0.40589,"b17Jul19r1"
"14","b",2019-07-17,"core",1,1,"cont",99.6,"ASL",2019-12-19,NA,16319.43,NA,16407.21,16408.89,1.68000000000029,89.4599999999991,87.7799999999988,-0.113346747149575,89.8,7.159754,0.82616,"b17Jul19r1"
"15","b",2019-07-17,"core",1,1,"init",99,"ASL",2019-12-19,NA,NA,NA,16193.87,16193.83,-0.0400000000008731,99,NA,0,91.48,8.9494884,0.9998764,"b17Jul19r1"
"16","b",2019-07-17,"core",1,2,"ext",100.1,"ASL",2019-12-19,NA,16422.49,NA,16487.12,16487.46,0.340000000000146,64.9699999999975,64.6299999999974,-0.540711097429641,57.96,3.393558,0.4300632,"b17Jul19r2"
"17","b",2019-07-17,"core",1,2,"cont",100.9,"ASL",2019-12-19,NA,14191.55,NA,14283.25,14283.53,0.280000000000655,91.9800000000014,91.7000000000007,-0.0969776038269025,90.54,6.319692,0.6908202,"b17Jul19r2"
"18","b",2019-07-17,"core",1,2,"init",99.5,"ASL",2019-12-19,NA,NA,NA,16376.27,16378.75,2.47999999999956,99.5,NA,0,85.58,7.4377578,0.8027404,"b17Jul19r2"
"19","b",2019-07-17,"core",1,3,"ext",100,"ASL",2019-12-19,NA,16471.32,NA,16541.83,16541.45,-0.380000000001019,70.130000000001,70.510000000002,-0.425923285327229,61.74,4.124232,0.5420772,"b17Jul19r3"
"20","b",2019-07-17,"core",1,3,"cont",100.5,"ASL",2019-12-19,NA,16254.09,NA,16344.99,16344.82,-0.170000000000073,90.7299999999996,90.8999999999996,-0.107682133803598,91.1,7.513017,0.896424,"b17Jul19r3"
"21","b",2019-07-17,"core",1,3,"init",99.1,"ASL",2019-12-19,NA,NA,NA,13881.45,13884.52,3.06999999999971,99.1,NA,0,84.41,8.2747123,0.9994144,"b17Jul19r3"
"22","b",2019-07-17,"core",1,4,"ext",99.4,"ASL",2019-12-19,NA,16094.12,NA,16156.77,16157,0.229999999999563,62.8799999999992,62.6499999999996,-0.580788804071267,57.23,3.4595535,0.3966039,"b17Jul19r4"
"23","b",2019-07-17,"core",1,4,"cont",100,"ASL",2019-12-19,NA,16522.83,NA,16613.07,16614.15,1.08000000000175,91.3199999999997,90.239999999998,-0.0950503723171301,91.49,6.4280874,0.7017283,"b17Jul19r4"
"24","b",2019-07-17,"core",1,4,"init",100.4,"ASL",2019-12-19,NA,NA,NA,16331.63,16333.59,1.96000000000095,100.4,NA,0,88.2,7.788942,0.80262,"b17Jul19r4"
"25","f",2019-07-22,"core",1,1,"ext",100.29,"ASL, AD",2019-11-01,NA,13927.9,NA,13982.74,13981.37,-1.36999999999898,53.4700000000012,54.8400000000001,-0.875631195062611,49.4,2.788136,0.289978,"f22Jul19r1"
"26","f",2019-07-22,"core",1,1,"cont",100.28,"ASL, AD",2019-11-01,NA,13991,NA,14084.36,14085.39,1.02999999999884,94.3899999999994,93.3600000000006,-0.0624006780379343,95.66,6.3106902,0.578743,"f22Jul19r1"
"27","f",2019-07-22,"core",1,1,"init",99.55,"ASL, AD",2019-11-01,NA,NA,NA,13562.42,13558.4,-4.02000000000044,99.55,NA,0,89.56,7.6027484,0.6734912,"f22Jul19r1"
"28","f",2019-07-22,"core",1,2,"init",99.72,"ASL, AD",2019-11-01,NA,NA,NA,16732.51,16729.69,-2.81999999999971,99.72,NA,0,85.43,7.3837149,0.59801,"f22Jul19r2"
"29","f",2019-07-22,"core",1,2,"ext",100.04,"ASL, AD",2019-11-01,NA,13785,NA,13846.24,13843.46,-2.78000000000065,58.4599999999991,61.2399999999998,-0.711255559356851,57.75,3.7069725,0.33033,"f22Jul19r2"
"30","f",2019-07-22,"core",1,2,"cont",99.68,"ASL, AD",2019-11-01,"Vial weight is after sediment was removed",16133.85,NA,16225.73,16225.93,0.200000000000728,92.0799999999999,91.8799999999992,-0.0825369244135544,98.09,6.2601038,0.5365523,"f22Jul19r2"
"31","f",2019-07-22,"core",1,3,"init",52.41,"ASL, AD",2019-11-01,"Not enough material",NA,NA,14025.68,14022.57,-3.11000000000058,52.41,NA,0,49.92,4.7578752,0.5296512,"f22Jul19r3"
