No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,clean out,blank,22,2550,0.008,1.57,1,1,0,0,203.4063,,"Npe,Nu",2020-JAN-22,11:50:35 AM
2,2,50,clean out,blank,20,3136,0.007,1.921,1,1,0,0,275.3056,,Nu,2020-JAN-22,11:58:17 AM
3,3,50,clean out,blank,60,93,0.032,0.036,1,1,0,0,1.1244,,Cu,2020-JAN-22,12:05:44 PM
4,4,50,clean out,blank,46,110,0.02,0.042,1,1,0,0,2.1074,,Cu,2020-JAN-22,12:13:08 PM
5,5,50,clean out,blank,124,566,0.083,0.278,1,1,0,0,3.3604,,,2020-JAN-22,12:20:32 PM
6,6,50,clean out,blank,119,262,0.079,0.101,1,1,0,0,1.2796,,Cu,2020-JAN-22,12:27:57 PM
7,7,10.31,RunIn,very low,3221,11886,11.2,35.58,1,1,0,0,3.1769,,,2020-JAN-22,12:38:30 PM
8,8,10.18,RunIn,very low,3467,12384,12.159,37.529,1,1,0,0,3.0866,,,2020-JAN-22,12:49:12 PM
9,9,10.68,aspartic acid,very low,3446,12714,10.52,36.06,0.9128,0.9821,0,0,3.4278,,,2020-JAN-22,12:59:48 PM
10,10,9.79,aspartic acid,very low,3308,11768,10.52,36.06,0.8698,0.9719,0,0,3.4278,,,2020-JAN-22,1:10:26 PM
11,11,10.31,aspartic acid,very low,3378,12560,10.52,36.06,0.898,0.9596,0,0,3.4278,,,2020-JAN-22,1:21:04 PM
12,12,85.76,F22Jul19 core 1cmR3 cont,very low,2018,20043,0.78,6.976,0.8936,0.9712,0,0,8.9405,,,2020-JAN-22,1:31:50 PM
13,13,60.65,B7Oct19 core 1cmR2 ext,very low,1359,13507,0.775,6.667,0.8936,0.9712,0,0,8.6074,,,2020-JAN-22,1:42:27 PM
14,14,98.09,F22Jul19 core 1cmR2 cont,very low,1577,20979,0.547,6.382,0.8936,0.9712,0,0,11.6737,,,2020-JAN-22,1:53:11 PM
15,15,93.14,F8Jul19 core 1cmR2 init,very low,1971,23258,0.703,7.448,0.8936,0.9712,0,0,10.5895,,,2020-JAN-22,2:03:48 PM
16,16,95.36,B7Oct19 core 1cmR3 init,very low,3501,31778,1.171,9.927,0.8936,0.9712,0,0,8.4789,,,2020-JAN-22,2:14:39 PM
17,17,94.04,F8Jul19 core 1cmR1 init,very low,1374,17503,0.505,5.561,0.8936,0.9712,0,0,11.0127,,,2020-JAN-22,2:25:19 PM
18,18,96.06,B7Oct19 core 1cmR2 init,very low,2910,28393,0.977,8.808,0.8936,0.9712,0,0,9.0183,,,2020-JAN-22,2:36:06 PM
19,19,49.4,F22Jul19 core 1cmR1 ext,very low,840,9273,0.587,5.644,0.8936,0.9712,0,0,9.6089,,,2020-JAN-22,2:46:43 PM
20,20,15.06,F2Sep19 core 1cmR4 cont,very low,423,3274,0.954,6.453,0.8936,0.9712,0,0,6.7675,,,2020-JAN-22,2:57:33 PM
21,21,60.33,B7Oct19 core 1cmR3 ext,very low,1860,16126,1.03,7.99,0.8936,0.9712,0,0,7.7557,,,2020-JAN-22,3:08:15 PM
22,22,10.33,aa as unknown,very low,3463,12590,10.695,36.512,0.8936,0.9712,0,0,3.4139,,,2020-JAN-22,3:19:05 PM
23,23,95.66,F22Jul19 core 1cmR1 cont,very low,1717,21149,0.605,6.597,0.8936,0.9712,0,0,10.9078,,,2020-JAN-22,3:29:45 PM
24,24,51.68,F2Sep19 core 1cmR3 ext,very low,604,6051,0.402,3.545,0.8936,0.9712,0,0,8.8229,,,2020-JAN-22,3:40:32 PM
25,25,50.76,F8Jul19 core 1cmR2 ext,very low,763,9257,0.518,5.483,0.8936,0.9712,0,0,10.5756,,,2020-JAN-22,3:51:15 PM
26,26,76.31,29Jul19 ses net ext,very low,2013,41947,0.875,16.363,0.8936,0.9712,0,0,18.6996,,,2020-JAN-22,4:02:11 PM
27,27,62.75,B7Oct19 core 1cmR4 ext,very low,1422,14239,0.783,6.79,0.8936,0.9712,0,0,8.6722,,,2020-JAN-22,4:12:58 PM
28,28,97.87,B7Oct19 core 1cmR1 init,very low,3011,29913,0.99,9.107,0.8936,0.9712,0,0,9.2011,,,2020-JAN-22,4:23:48 PM
29,29,96.76,F2Sep19 core 1cmR3 init,very low,1573,18372,0.553,5.671,0.8936,0.9712,0,0,10.2534,,,2020-JAN-22,4:34:32 PM
30,30,19.79,F2Sep19 core 1cmR4 ext,very low,590,4675,1.024,6.807,0.8936,0.9712,0,0,6.6482,,,2020-JAN-22,4:45:17 PM
31,31,99.31,29Jul19 ses net init,very low,2534,54206,0.83,16.243,0.8936,0.9712,0,0,19.5597,,,2020-JAN-22,4:56:06 PM
32,32,99.19,F2Sep19 core 1cmR2 init,very low,1106,13342,0.386,4.027,0.8936,0.9712,0,0,10.4417,,,2020-JAN-22,5:06:58 PM
33,33,10.52,aa as unknown,very low,3303,12483,10.043,35.549,0.8936,0.9712,0,0,3.5398,,,2020-JAN-22,5:17:46 PM
34,34,0,,,0,0,0,0,0.8936,0.9712,0,0,0,,,,
