Sample,NPOC,TNb
aor1d13t,9.096362783,2.193433426
aor2d9s,9.106268114,1.849898823
aar2d13t,9.180773426,2.224179992
oor2d2s,5.62648245,1.278646086
oar1d6t,4.654468063,1.365167541
aor2d13t,9.470612009,2.155956923
oor2d6s,4.831041346,1.19062909
aar2d9t,9.464152011,2.104140821
aor3d15s,6.060163658,1.381002683
oar1d9s,6.883167421,1.00777719
oar1d13s,2.931801893,0.548338148
aar2d9s,8.515393617,1.663528003
oar2d9s,3.946452267,0.98059353
oar3d6t,5.288409214,1.485690564
aar3d16t,12.86555636,2.250747841
oor2d2t,6.516239527,1.69137146
oor3d2t,5.461537164,1.596668515
oar2d9t,3.582108372,1.122010143
aar1d2t,10.58948369,1.762013787
oor1d6s,4.252656179,1.170087392
