"No","HolePos","Weight_mg","Name","Method","N_Area","C_Area","N_pct","C_pct","N_Factor","C_Factor","N_Blank","C_Blank","CN_ratio","Memo","Info","Date","Time","C_mass","N_mass","Reservoir","Date_collected","Experiment_sample_date","Rep","Stage","Experiment_treatment"
50,50,91.58,"aor1d13","very low",1125,11892,0.422,3.946,0.888,0.9847,0,0,9.3418,NA,NA,"12/15/21",23:56:00,3.6137468,0.3864676,NA,NA,"13","1","init","ao"
36,36,82.02,"aor1d13","very low",653,6354,0.272,2.376,0.888,0.9847,0,0,8.727,NA,NA,"12/15/21",21:25:24,1.9487952,0.2230944,NA,NA,"13","1","ext","ao"
28,28,96.19,"aor1d13","very low",985,9586,0.352,3.036,0.888,0.9847,0,0,8.6248,NA,NA,"12/15/21",19:59:14,2.9203284,0.3385888,NA,NA,"13","1","con","ao"
39,39,90.99,"aor2d13","very low",980,11858,0.37,3.96,0.888,0.9847,0,0,10.6963,NA,NA,"12/15/21",21:57:44,3.603204,0.336663,NA,NA,"13","2","init","ao"
25,25,74.83,"aor2d13","very low",490,5631,0.222,2.142,0.888,0.9847,0,0,9.6367,NA,NA,"12/15/21",19:26:49,1.6028586,0.1661226,NA,NA,"13","2","ext","ao"
59,59,92.46,"aor2d13 ","very low",825,9561,0.306,3.151,0.888,0.9847,0,0,10.2863,NA,NA,"12/16/21",01:32:39,2.9134146,0.2829276,NA,NA,"13","2","con","ao"
53,53,90.95,"expInitr1","very low",994,11958,0.376,3.995,0.888,0.9847,0,0,10.6357,NA,NA,"12/16/21",00:28:24,3.6334525,0.341972,NA,NA,"0","1","init","ex"
60,60,78.17,"expInitr1 ","very low",708,5677,0.31,2.065,0.888,0.9847,0,0,6.6585,NA,NA,"12/16/21",01:43:18,1.6142105,0.242327,NA,NA,"0","1","ext","ex"
57,57,95.43,"expInitr1 ","very low",832,9621,0.299,3.071,0.888,0.9847,0,0,10.26,NA,NA,"12/16/21",01:11:19,2.9306553,0.2853357,NA,NA,"0","1","con","ex"
48,48,92.29,"expInitr3","very low",1132,11998,0.422,3.95,0.888,0.9847,0,0,9.3681,NA,NA,"12/15/21",23:34:32,3.645455,0.3894638,NA,NA,"0","3","init","ex"
29,29,74.16,"expInitr3","very low",485,5219,0.222,2.027,0.888,0.9847,0,0,9.1386,NA,NA,"12/15/21",20:09:56,1.5032232,0.1646352,NA,NA,"0","3","ext","ex"
47,47,94.19,"expInitr3","very low",841,9576,0.306,3.097,0.888,0.9847,0,0,10.1063,NA,NA,"12/15/21",23:23:49,2.9170643,0.2882214,NA,NA,"0","3","con","ex"
43,43,91.99,"oor1d13","very low",1098,13426,0.41,4.43,0.888,0.9847,0,0,10.7951,NA,NA,"12/15/21",22:40:48,4.075157,0.377159,NA,NA,"13","1","init","oo"
49,49,74.31,"oor1d13","very low",599,6478,0.275,2.673,0.888,0.9847,0,0,9.7092,NA,NA,"12/15/21",23:45:15,1.9863063,0.2043525,NA,NA,"13","1","ext","oo"
19,19,95.99,"oor1d13","very low",1006,11815,0.36,3.741,0.888,0.9847,0,0,10.3827,NA,NA,"12/15/21",18:22:34,3.5909859,0.345564,NA,NA,"13","1","con","oo"
37,37,90.99,"oor2d16 ","very low",1110,13236,0.419,4.416,0.888,0.9847,0,0,10.529,NA,NA,"12/15/21",21:36:10,4.0181184,0.3812481,NA,NA,"16","2","init","oo"
31,31,71.57,"oor2d16","very low",616,6663,0.294,2.853,0.888,0.9847,0,0,9.7096,NA,NA,"12/15/21",20:31:29,2.0418921,0.2104158,NA,NA,"16","2","ext","oo"
27,27,93.17,"oor2d16","very low",932,11101,0.344,3.624,0.888,0.9847,0,0,10.545,NA,NA,"12/15/21",19:48:26,3.3764808,0.3205048,NA,NA,"16","2","con","oo"
61,61,89.27,"b21jun21r1 ","very low",2969,28682,1.064,9.707,0.888,0.9847,0,0,9.1206,NA,NA,"12/16/21",01:53:57,8.6654389,0.9498328,"b","21jun21",NA,"1","init",NA
54,54,66.86,"B21jun21r1 ","very low",1901,15746,0.942,7.139,0.888,0.9847,0,0,7.5764,NA,NA,"12/16/21",00:39:13,4.7731354,0.6298212,"b","21jun21",NA,"1","ext",NA
15,15,88.39,"b21jun21r1 ","very low",2477,23918,0.908,8.181,0.888,0.9847,0,0,9.0118,NA,NA,"12/15/21",17:39:44,7.2311859,0.8025812,"b","21jun21",NA,"1","con",NA
38,38,86.38,"b21jun21r3 ","very low",3215,29396,1.185,10.281,0.888,0.9847,0,0,8.6758,NA,NA,"12/15/21",21:46:58,8.8807278,1.023603,"b","21jun21",NA,"3","init",NA
52,52,62.68,"b21jun21r3 ","very low",1878,16063,0.994,7.767,0.888,0.9847,0,0,7.812,NA,NA,"12/16/21",00:17:37,4.8683556,0.6230392,"b","21jun21",NA,"3","ext",NA
55,55,89.58,"b21jun21r3 ","very low",2711,25463,0.974,8.592,0.888,0.9847,0,0,8.8187,NA,NA,"12/16/21",00:49:59,7.6967136,0.8725092,"b","21jun21",NA,"3","con",NA
33,33,94.78,"b26jul21 ","very low",6837,56225,2.226,17.897,0.888,0.9847,0,0,8.0405,NA,NA,"12/15/21",20:53:02,16.9627766,2.1098028,"b","26jul21",NA,NA,"init",NA
23,23,67.68,"b26jul21 sed trap ","very low",4504,37307,2.083,16.641,0.888,0.9847,0,0,7.9875,NA,NA,"12/15/21",19:05:19,11.2626288,1.4097744,"b","26jul21",NA,NA,"ext",NA
45,45,78.3,"b26jul21 sed trap ","very low",5287,41678,2.101,16.065,0.888,0.9847,0,0,7.6471,NA,NA,"12/15/21",23:02:19,12.578895,1.645083,"b","26jul21",NA,NA,"con",NA
13,13,90,"b31mar21r2 ","very low",3235,31212,1.144,10.475,0.888,0.9847,0,0,9.1554,NA,NA,"12/15/21",17:18:22,9.4275,1.0296,"b","31mar21",NA,"2","init",NA
12,12,64.95,"b31mar21r2 ","very low",2082,17031,1.053,7.944,0.888,0.9847,0,0,7.5407,NA,NA,"12/15/21",17:07:45,5.159628,0.6839235,"b","31mar21",NA,"2","ext",NA
17,17,90.01,"b31mar21r2 ","very low",2761,25967,0.986,8.72,0.888,0.9847,0,0,8.8415,NA,NA,"12/15/21",18:01:10,7.848872,0.8874986,"b","31mar21",NA,"2","con",NA
42,42,83.55,"b31mar21r3 ","very low",2905,27072,1.114,9.792,0.888,0.9847,0,0,8.7885,NA,NA,"12/15/21",22:30:05,8.181216,0.930747,"b","31mar21",NA,"3","init",NA
