"Sample","NPOC","TNb","Day","Sample_day","Rep","filt","Treatment","Status"
"aor1d23t",4.131259414,1.279450199,2021-09-07,23,1,"Unfiltered","Anoxic to oxic","Anoxic"
"aar3d23s",9.333699008,2.01084022,2021-09-07,23,3,"Filtered","Anoxic","Anoxic"
"oor3d23t",3.094452939,0.246650909,2021-09-07,23,3,"Unfiltered","Oxic","Oxic"
"oor3d23s",3.033228936,0.217709115,2021-09-07,23,3,"Filtered","Oxic","Oxic"
"oar2d34t",10.40972086,1.165349616,2021-09-07,34,2,"Unfiltered","Oxic to anoxic","Oxic"
"oar3d34t",7.815103649,0.920319936,2021-09-07,34,3,"Unfiltered","Oxic to anoxic","Oxic"
"aar3d20s",8.731062747,1.917267173,2021-09-07,20,3,"Filtered","Anoxic","Anoxic"
"aor1d23s",3.676681199,1.08441828,2021-09-07,23,1,"Filtered","Anoxic to oxic","Anoxic"
"aor2d23t",4.132459885,1.163357836,2021-09-07,23,2,"Unfiltered","Anoxic to oxic","Anoxic"
"aar1d20t",9.217653513,2.242293272,2021-09-07,20,1,"Unfiltered","Anoxic","Anoxic"
"aor3d34s",4.554625393,0.211774421,2021-09-07,34,3,"Filtered","Anoxic to oxic","Anoxic"
"oar3d23t",7.887932201,0.925970089,2021-09-07,23,3,"Unfiltered","Oxic to anoxic","Oxic"
"aor3d23s",4.312530481,0.922393014,2021-09-07,23,3,"Filtered","Anoxic to oxic","Anoxic"
"oar2d20s",10.9095168,0.2382773,2021-09-07,20,2,"Filtered","Oxic to anoxic","Oxic"
"aar2d20t",10.84189029,2.273348792,2021-09-07,20,2,"Unfiltered","Anoxic","Anoxic"
"oar2d20t",10.66101938,0.321647551,2021-09-07,20,2,"Unfiltered","Oxic to anoxic","Oxic"
"aor3d34t",3.495810289,0.211489881,2021-09-07,34,3,"Unfiltered","Anoxic to oxic","Anoxic"
"oar1d20t",8.41773991,0.535824954,2021-09-07,20,1,"Unfiltered","Oxic to anoxic","Oxic"
"aor3d23t",4.91916831,1.176365383,2021-09-07,23,3,"Unfiltered","Anoxic to oxic","Anoxic"
"oar3d34s",8.553393092,0.792317536,2021-09-07,34,3,"Filtered","Oxic to anoxic","Oxic"
"aor2d34s",4.19,0.27,2021-09-08,34,2,"Filtered","Anoxic to oxic","Anoxic"
"oor1d23t",3.66,0.25,2021-09-08,23,1,"Unfiltered","Oxic","Oxic"
"oar2d23t",8.3,0.35,2021-09-08,23,2,"Unfiltered","Oxic to anoxic","Oxic"
"aor1d34s",3.54,0.24,2021-09-08,34,1,"Filtered","Anoxic to oxic","Anoxic"
"aar2d23t",10.27,2.36,2021-09-08,23,2,"Unfiltered","Anoxic","Anoxic"
"aar1d23t",9.2,2.37,2021-09-08,23,1,"Unfiltered","Anoxic","Anoxic"
"aar2d23s",9.03,2.07,2021-09-08,23,2,"Filtered","Anoxic","Anoxic"
"aor1d34t",4.21,0.29,2021-09-08,34,1,"Unfiltered","Anoxic to oxic","Anoxic"
"oar1d20s",9.1,0.51,2021-09-08,20,1,"Filtered","Oxic to anoxic","Oxic"
"oar1d34s",12.15,1.01,2021-09-08,34,1,"Filtered","Oxic to anoxic","Oxic"
"oor1d23s",3.52,0.25,2021-09-08,23,1,"Filtered","Oxic","Oxic"
